Territorio,Tipo de territorio,1r tr 2000,2n tr 2000,3r tr 2000,4t tr 2000,1r tr 2001,2n tr 2001,3r tr 2001,4t tr 2001,1r tr 2002,2n tr 2002,3r tr 2002,4t tr 2002,1r tr 2003,2n tr 2003,3r tr 2003,4t tr 2003,1r tr 2004,2n tr 2004,3r tr 2004,4t tr 2004,1r tr 2005,2n tr 2005,3r tr 2005,4t tr 2005,1r tr 2006,2n tr 2006,3r tr 2006,4t tr 2006,1r tr 2007,2n tr 2007,3r tr 2007,4t tr 2007,1r tr 2008,2n tr 2008,3r tr 2008,4t tr 2008,1r tr 2009,2n tr 2009,3r tr 2009,4t tr 2009,1r tr 2010,2n tr 2010,3r tr 2010,4t tr 2010,1r tr 2011,2n tr 2011,3r tr 2011,4t tr 2011,1r tr 2012,2n tr 2012,3r tr 2012,4t tr 2012,1r tr 2013,2n tr 2013,3r tr 2013,4t tr 2013,1r tr 2014,2n tr 2014,3r tr 2014,4t tr 2014,1r tr 2015,2n tr 2015,3r tr 2015,4t tr 2015,1r tr 2016,2n tr 2016,3r tr 2016,4t tr 2016,1r tr 2017,2n tr 2017,3r tr 2017,4t tr 2017,1r tr 2018,2n tr 2018,3r tr 2018,4t tr 2018,1r tr 2019,2n tr 2019,3r tr 2019,4t tr 2019,1r tr 2020,2n tr 2020,3r tr 2020,4t tr 2020,1r tr 2021,2n tr 2021,3r tr 2021,4t tr 2021,1r tr 2022,2n tr 2022,3r tr 2022,4t tr 2022,1r tr 2023,2n tr 2023,3r tr 2023,4t tr 2023,1r tr 2024,2n tr 2024,3r tr 2024,4t tr 2024,1r tr 2025,2n tr 2025,3r tr 2025
Catalunya,Comunitat Autònoma,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"527,7","553,3","554,8","568,9","574,6","595,2","612,2","627,5","632,3","631,8","651,7","663,8","662,2","672,3","693,9","683,3","670,4","650,0","644,0","641,3","622,7","611,8","621,1","605,1","594,5","595,4","608,5","598,4","578,6","568,1","572,4","566,5","547,2","535,6","544,8","541,6","532,9","528,5","544,8","551,1","543,2","541,5","572,2","572,4","569,8","574,5","615,3","622,0","626,0","638,5","677,2","675,3","672,4","688,6","717,8","715,5","711,3","724,9","755,4","750,9","737,8","724,4","745,4","725,3","713,3","713,2","737,5","733,2","738,1","759,9","805,7","815,0","812,9","830,3","848,4","854,1","868,9","823,0","839,4","840,3","827,8","854,7","876,8"
Metropolità de Barcelona,Àmbit funcional territorial,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"566,9","597,6","602,7","613,7","624,8","642,1","662,4","674,9","685,8","692,5","725,9","730,3","732,5","744,1","767,9","752,4","745,0","721,8","713,4","708,8","699,1","681,5","695,0","676,7","668,6","665,5","681,6","667,7","647,8","634,3","644,6","633,9","609,9","597,5","606,5","601,3","593,3","590,4","611,3","617,9","610,0","617,8","656,6","654,8","650,7","662,1","709,1","717,1","721,3","738,5","777,2","772,6","771,3","787,0","822,3","822,9","816,5","833,1","868,5","859,9","847,3","834,0","858,7","825,9","806,6","812,9","837,1","830,9","843,1","864,9","917,9","930,2","926,8","950,8","980,7","993,2","1.003,6","955,1","974,2","978,0","953,6","989,1","1.017,0"
Barcelona,Municipi,"387,7","398,9","421,1","426,4","433,4","452,8","467,6","500,8","532,0","496,0","515,0","533,9","518,0","539,9","557,8","580,5","573,7","565,1","596,7","601,6","603,9","638,9","644,0","653,9","659,0","687,7","705,8","729,1","743,9","742,8","790,8","788,6","793,4","809,1","833,3","816,2","821,6","787,7","787,6","781,6","776,0","758,6","760,4","754,9","746,3","744,7","766,8","753,0","732,5","710,7","720,4","718,0","686,9","676,6","681,2","681,7","674,9","667,9","702,0","705,7","702,0","713,9","765,2","755,1","755,2","774,1","826,0","843,4","845,1","865,0","903,4","889,6","897,9","916,3","948,9","954,3","944,4","968,9","1.005,8","995,6","980,5","960,1","979,4","939,1","905,4","903,3","932,3","934,2","965,4","996,6","1.066,7","1.077,5","1.087,3","1.123,6","1.171,3","1.178,0","1.193,4","1.131,8","1.133,3","1.117,4","1.087,2","1.135,5","1.153,1"
Ciutat Vella,Districte,"286,9","301,3","338,7","370,1","345,3","352,8","342,3","360,3","433,5","399,0","412,9","403,2","413,9","434,5","459,5","460,8","489,7","418,9","475,6","501,9","498,9","554,5","535,2","565,9","637,2","578,5","525,3","646,3","637,4","616,4","684,2","707,2","676,9","723,4","771,2","746,6","743,1","713,3","687,8","721,5","711,0","669,8","667,0","672,3","653,8","651,6","655,2","690,6","655,3","643,8","630,2","646,8","625,2","607,0","615,3","627,5","631,0","612,3","646,5","666,1","655,2","658,6","687,1","700,2","704,5","715,9","751,6","783,3","802,9","815,3","848,1","847,9","875,7","923,7","920,4","936,3","924,5","960,2","960,3","939,0","962,2","906,8","907,8","871,0","827,9","839,3","856,3","864,1","1.018,9","966,2","1.009,3","1.035,4","1.054,0","1.063,6","1.104,9","1.108,0","1.128,8","1.023,2","1.039,0","1.036,0","984,1","1.057,6","1.007,0"
el Raval,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"589,5","550,6","576,5","597,0","601,3","598,9","654,0","644,7","624,4","662,3","666,2","716,7","735,0","714,3","764,9","776,7","792,7","820,9","849,3","827,3","822,6","867,0","869,1","844,9","864,5","853,3","833,9","787,0","759,2","774,2","770,5","772,8","917,0","872,0","928,1","929,0","946,8","905,4","1.000,2","997,3","1.046,4","910,3","978,1","936,7","921,9","969,9","947,0"
el Barri Gòtic,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"712,8","728,8","790,7","761,7","756,7","771,1","773,0","831,1","893,4","806,2","851,6","914,0","905,3","968,2","1.028,5","993,2","998,4","1.024,3","1.012,5","1.057,3","1.060,9","1.112,1","1.082,4","1.139,7","1.110,2","1.041,0","982,5","1.003,9","929,6","934,1","968,4","953,0","1.181,6","1.062,5","1.111,3","1.163,3","1.279,5","1.293,9","1.206,5","1.267,0","1.270,7","1.153,2","1.153,9","1.176,7","1.137,4","1.276,7","1.144,9"
la Barceloneta,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"540,7","541,9","578,9","593,7","581,3","598,2","630,0","601,4","638,7","659,3","686,6","686,3","722,8","738,3","758,2","766,0","870,8","923,4","889,2","913,2","891,3","924,0","871,6","893,0","899,5","856,5","823,1","875,0","808,9","814,8","826,0","877,9","999,8","900,5","922,9","954,8","978,7","1.002,2","980,3","1.002,5","1.112,4","987,4","914,8","1.035,1","854,8","956,7","844,6"
"Sant Pere, Santa Caterina i la Ribera",Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"673,4","677,0","699,1","687,3","697,2","708,0","729,0","751,6","759,2","773,6","839,6","854,2","895,3","930,1","927,2","914,8","923,4","991,4","971,0","1.000,5","990,2","1.010,1","1.020,2","966,4","1.030,0","919,8","970,9","888,9","879,4","862,1","889,1","922,8","1.022,8","1.051,4","1.084,9","1.128,9","1.065,8","1.107,5","1.229,1","1.201,2","1.177,9","1.126,9","1.120,1","1.080,0","1.045,9","1.079,0","1.085,6"
Eixample,Districte,"425,8","417,8","452,8","453,8","464,0","496,6","515,7","568,5","567,8","550,3","553,3","583,6","567,4","584,0","598,0","626,5","624,4","619,0","650,1","645,7","679,3","706,1","704,6","720,6","686,3","739,1","765,4","808,2","808,6","791,4","851,6","868,2","879,9","884,9","909,2","893,0","887,4","871,6","856,3","845,7","828,7","830,5","840,2","834,1","822,0","814,9","824,4","825,3","801,3","791,9","805,6","802,5","764,6","760,2","765,7","763,6","761,7","764,2","787,5","792,2","797,1","817,4","853,1","852,2","880,1","885,3","941,0","953,1","956,2","987,6","1.007,0","1.004,8","994,8","1.022,4","1.049,4","1.086,0","1.060,6","1.073,3","1.114,5","1.121,4","1.106,7","1.067,8","1.093,4","1.034,3","992,0","999,7","1.008,8","1.033,0","1.068,9","1.103,3","1.183,1","1.210,3","1.214,5","1.276,4","1.292,7","1.323,4","1.349,9","1.258,2","1.264,3","1.253,1","1.238,4","1.276,1","1.304,0"
el Fort Pienc,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"736,1","706,2","719,8","736,0","753,8","770,1","753,0","792,5","800,1","808,1","868,3","816,5","871,1","885,0","933,5","910,8","910,5","943,0","968,8","983,1","957,2","988,7","1.031,3","1.064,4","1.059,9","999,9","997,4","959,5","918,0","907,1","970,2","976,9","957,9","1.106,9","1.118,7","1.119,2","1.155,8","1.185,4","1.171,8","1.206,0","1.221,1","1.142,4","1.183,5","1.162,8","1.124,1","1.119,6","1.193,5"
